step,top1_miss,ema_miss,top1_acc,flip_penalty,median_rel_margin,flip_severity
404,0.478027,0.457626,0.521973,0.285156,1.171875,0.812500
405,0.456055,0.457469,0.543945,0.292969,1.070312,0.828125
406,0.479980,0.459720,0.520020,0.302734,1.093750,0.851562
407,0.465332,0.460281,0.534668,0.300781,1.117188,0.789062
408,0.405762,0.454829,0.594238,0.285156,0.917969,0.800781
409,0.443848,0.453731,0.556152,0.300781,0.957031,0.957031
410,0.589844,0.467342,0.410156,0.455078,1.000000,1.585938
411,0.396484,0.460256,0.603516,0.285156,0.832031,0.710938
412,0.406738,0.454905,0.593262,0.294922,0.882812,0.777344
413,0.415039,0.450918,0.584961,0.277344,0.906250,0.804688
414,0.440430,0.449869,0.559570,0.294922,0.976562,0.761719
415,0.381836,0.443066,0.618164,0.277344,0.914062,0.734375
416,0.416016,0.440361,0.583984,0.306641,0.980469,0.859375
417,0.435059,0.439831,0.564941,0.300781,1.000000,0.953125
418,0.448730,0.440721,0.551270,0.306641,1.000000,0.941406
419,0.438965,0.440545,0.561035,0.291016,1.000000,0.914062
420,0.420410,0.438532,0.579590,0.285156,1.023438,0.757812
421,0.473633,0.442042,0.526367,0.332031,0.968750,1.039062
422,0.446777,0.442515,0.553223,0.271484,1.000000,0.875000
423,0.434082,0.441672,0.565918,0.298828,1.054688,0.921875
424,0.432129,0.440718,0.567871,0.275391,1.078125,0.828125
425,0.382812,0.434927,0.617188,0.271484,0.929688,0.792969
426,0.464355,0.437870,0.535645,0.298828,1.187500,0.773438
